Emittententicker,Name,Sektor,Anlageklasse,Marktwert,Gewichtung (%),Nominalwert,Nominale,Kurs,Standort,Börse,Marktwährung,ISIN
SHB A,SVENSKA HANDELSBANKEN-A SHS,Financials,Aktien,"14.554.544,32","0,16","14.554.544,32","1.224.025,00","11,89",Schweden,Nasdaq Omx Nordic,SEK,SE0007100599
VNA,VONOVIA SE,Immobilien,Aktien,"14.466.588,12","0,15","14.466.588,12","550.479,00","26,28",Deutschland,Xetra,EUR,DE000A1ML7J1
ACA,CREDIT AGRICOLE SA,Financials,Aktien,"14.449.579,78","0,15","14.449.579,78","878.127,00","16,45",Frankreich,Nyse Euronext - Euronext Paris,EUR,FR0000045072
NXT,NEXT PLC,Zyklische Konsumgüter ,Aktien,"14.317.329,59","0,15","14.317.329,59","88.845,00","161,15",Vereinigtes Königreich,London Stock Exchange,GBP,GB0032089863
NSIS B,NOVOZYMES B,Materialien,Aktien,"14.298.262,75","0,15","14.298.262,75","267.304,00","53,49",Dänemark,Omx Nordic Exchange Copenhagen A/S,DKK,DK0060336014
LDO,LEONARDO FINMECCANICA SPA,Industrie,Aktien,"14.277.673,41","0,15","14.277.673,41","313.313,00","45,57",Italien,Borsa Italiana,EUR,IT0003856405
REP,REPSOL SA,Energie,Aktien,"14.063.133,70","0,15","14.063.133,70","895.741,00","15,70",Spanien,Bolsa De Madrid,EUR,ES0173516115
STLAM,STELLANTIS NV,Zyklische Konsumgüter ,Aktien,"13.929.798,62","0,15","13.929.798,62","1.556.576,00","8,95",Italien,Borsa Italiana,EUR,NL00150001Q9
GMAB,GENMAB,Gesundheitsversorgung,Aktien,"13.857.587,69","0,15","13.857.587,69","50.437,00","274,75",Dänemark,Omx Nordic Exchange Copenhagen A/S,DKK,DK0010272202
IHG,INTERCONTINENTAL HOTELS GROUP PLC,Zyklische Konsumgüter ,Aktien,"13.805.152,29","0,15","13.805.152,29","118.881,00","116,13",Vereinigtes Königreich,London Stock Exchange,GBP,GB00BHJYC057
AENA,AENA SME SA,Industrie,Aktien,"13.545.441,00","0,15","13.545.441,00","578.865,00","23,40",Spanien,Bolsa De Madrid,EUR,ES0105046017
DSY,DASSAULT SYSTEMES,IT,Aktien,"13.516.368,60","0,14","13.516.368,60","559.684,00","24,15",Frankreich,Nyse Euronext - Euronext Paris,EUR,FR0014003TT8
A5G,AIB GROUP PLC,Financials,Aktien,"13.515.810,28","0,14","13.515.810,28","1.557.121,00","8,68",Irland,Irish Stock Exchange - All Market,EUR,IE00BF0L3536
SAB,BANCO DE SABADELL SA,Financials,Aktien,"13.196.157,79","0,14","13.196.157,79","4.145.824,00","3,18",Spanien,Bolsa De Madrid,EUR,ES0113860A34
ABN,ABN AMRO BANK NV,Financials,Aktien,"12.906.642,97","0,14","12.906.642,97","441.857,00","29,21",Niederlande,Euronext Amsterdam,EUR,NL0011540547
SGSN,SGS SA,Industrie,Aktien,"12.758.532,34","0,14","12.758.532,34","131.959,00","96,69",Schweiz,SIX Swiss Exchange,CHF,CH1256740924
ACS,ACS ACTIVIDADES DE CONSTRUCCION Y,Industrie,Aktien,"12.738.377,10","0,14","12.738.377,10","159.429,00","79,90",Spanien,Bolsa De Madrid,EUR,ES0167050915
LGEN,LEGAL AND GENERAL GROUP PLC,Financials,Aktien,"12.460.291,28","0,13","12.460.291,28","4.447.156,00","2,80",Vereinigtes Königreich,London Stock Exchange,GBP,GB0005603997
SCMN,SWISSCOM AG,Kommunikation,Aktien,"12.439.898,29","0,13","12.439.898,29","19.839,00","627,04",Schweiz,SIX Swiss Exchange,CHF,CH0008742519
NN,NN GROUP NV,Financials,Aktien,"12.226.125,80","0,13","12.226.125,80","196.246,00","62,30",Niederlande,Euronext Amsterdam,EUR,NL0010773842
PKO,POWSZECHNA KASA OSZCZEDNOSCI BANK,Financials,Aktien,"12.149.078,87","0,13","12.149.078,87","660.738,00","18,39",Polen,Warsaw Stock Exchange/Equities/Main Market,PLN,PLPKO0000016
MT,ARCELORMITTAL SA,Materialien,Aktien,"12.083.635,36","0,13","12.083.635,36","326.056,00","37,06",Frankreich,Euronext Amsterdam,EUR,LU1598757687
HNR1,HANNOVER RUECK,Financials,Aktien,"12.051.558,40","0,13","12.051.558,40","46.784,00","257,60",Deutschland,Xetra,EUR,DE0008402215
HLMA,HALMA PLC,IT,Aktien,"11.985.982,03","0,13","11.985.982,03","290.919,00","41,20",Vereinigtes Königreich,London Stock Exchange,GBP,GB0004052071
KPN,KONINKLIJKE KPN NV,Kommunikation,Aktien,"11.969.042,40","0,13","11.969.042,40","2.999.760,00","3,99",Niederlande,Euronext Amsterdam,EUR,NL0000009082
RI,PERNOD RICARD SA,Nichtzyklische Konsumgüter,Aktien,"11.796.157,76","0,13","11.796.157,76","154.724,00","76,24",Frankreich,Nyse Euronext - Euronext Paris,EUR,FR0000120693
MRK,MERCK,Gesundheitsversorgung,Aktien,"11.533.330,00","0,12","11.533.330,00","99.640,00","115,75",Deutschland,Xetra,EUR,DE0006599905
BIRG,BANK OF IRELAND GROUP PLC,Financials,Aktien,"11.486.674,30","0,12","11.486.674,30","724.940,00","15,85",Irland,Irish Stock Exchange - All Market,EUR,IE00BD1RP616
INF,INFORMA PLC,Kommunikation,Aktien,"11.193.005,56","0,12","11.193.005,56","1.037.158,00","10,79",Vereinigtes Königreich,London Stock Exchange,GBP,GB00BMJ6DW54
SAAB B,SAAB CLASS B,Industrie,Aktien,"11.142.046,80","0,12","11.142.046,80","261.063,00","42,68",Schweden,Nasdaq Omx Nordic,SEK,SE0021921269
BPE,BPER BANCA,Financials,Aktien,"11.107.195,65","0,12","11.107.195,65","1.073.159,00","10,35",Italien,Borsa Italiana,EUR,IT0000066123
BAMI,BANCO BPM,Financials,Aktien,"11.106.046,56","0,12","11.106.046,56","891.336,00","12,46",Italien,Borsa Italiana,EUR,IT0005218380
TEF,TELEFONICA SA,Kommunikation,Aktien,"11.103.386,80","0,12","11.103.386,80","2.968.820,00","3,74",Spanien,Bolsa De Madrid,EUR,ES0178430E18
LOGN,LOGITECH INTERNATIONAL SA,IT,Aktien,"10.927.151,84","0,12","10.927.151,84","113.369,00","96,39",Schweiz,SIX Swiss Exchange,CHF,CH0025751329
EQNR,EQUINOR,Energie,Aktien,"10.814.730,77","0,12","10.814.730,77","553.767,00","19,53",Norwegen,Oslo Bors Asa,NOK,NO0010096985
SHL,SIEMENS HEALTHINEERS AG,Gesundheitsversorgung,Aktien,"10.714.834,92","0,11","10.714.834,92","252.947,00","42,36",Deutschland,Xetra,EUR,DE000SHL1006
ESSITY B,ESSITY CLASS B,Nichtzyklische Konsumgüter,Aktien,"10.695.555,98","0,11","10.695.555,98","448.887,00","23,83",Schweden,Nasdaq Omx Nordic,SEK,SE0009922164
WRT1V,WARTSILA,Industrie,Aktien,"10.506.650,05","0,11","10.506.650,05","383.035,00","27,43",Finnland,Nasdaq Omx Helsinki Ltd.,EUR,FI0009003727
TRN,TERNA RETE ELETTRICA NAZIONALE,Versorger,Aktien,"10.288.005,34","0,11","10.288.005,34","1.136.545,00","9,05",Italien,Borsa Italiana,EUR,IT0003242622
STMMI,STMICROELECTRONICS NV,IT,Aktien,"10.162.191,66","0,11","10.162.191,66","518.585,00","19,60",Frankreich,Borsa Italiana,EUR,NL0000226223
FBK,FINECOBANK BANCA FINECO,Financials,Aktien,"10.148.376,00","0,11","10.148.376,00","483.256,00","21,00",Italien,Borsa Italiana,EUR,IT0000072170
DSFIR,DSM FIRMENICH AG,Materialien,Aktien,"10.055.408,04","0,11","10.055.408,04","142.146,00","70,74",Niederlande,Euronext Amsterdam,EUR,CH1216478797
BT.A,BT GROUP PLC,Kommunikation,Aktien,"10.033.910,09","0,11","10.033.910,09","4.847.952,00","2,07",Vereinigtes Königreich,London Stock Exchange,GBP,GB0030913577
MONC,MONCLER,Zyklische Konsumgüter ,Aktien,"10.010.731,32","0,11","10.010.731,32","175.074,00","57,18",Italien,Borsa Italiana,EUR,IT0004965148
BAER,JULIUS BAER GRUPPE AG,Financials,Aktien,"9.976.214,47","0,11","9.976.214,47","162.287,00","61,47",Schweiz,SIX Swiss Exchange,CHF,CH0102484968
CLNX,CELLNEX TELECOM SA,Kommunikation,Aktien,"9.940.359,00","0,11","9.940.359,00","384.540,00","25,85",Spanien,Bolsa De Madrid,EUR,ES0105066007
PKN,ORLEN SA,Energie,Aktien,"9.940.979,56","0,11","9.940.979,56","440.076,00","22,59",Polen,Warsaw Stock Exchange/Equities/Main Market,PLN,PLPKN0000018
KRZ,KERRY GROUP PLC,Nichtzyklische Konsumgüter,Aktien,"9.931.716,90","0,11","9.931.716,90","125.559,00","79,10",Irland,Irish Stock Exchange - All Market,EUR,IE0004906560
SN.,SMITH AND NEPHEW PLC,Gesundheitsversorgung,Aktien,"9.895.395,70","0,11","9.895.395,70","686.492,00","14,41",Vereinigtes Königreich,London Stock Exchange,GBP,GB0009223206
LISP,CHOCOLADEFABRIKEN LINDT & SPRUENGL,Nichtzyklische Konsumgüter,Aktien,"9.816.863,40","0,11","9.816.863,40","769,00","12.765,73",Schweiz,SIX Swiss Exchange,CHF,CH0010570767
UPM,UPM-KYMMENE,Materialien,Aktien,"9.707.864,40","0,10","9.707.864,40","414.866,00","23,40",Finnland,Nasdaq Omx Helsinki Ltd.,EUR,FI0009005987
SCHP,SCHINDLER HOLDING PAR AG,Industrie,Aktien,"9.704.567,62","0,10","9.704.567,62","31.684,00","306,29",Schweiz,SIX Swiss Exchange,CHF,CH0024638196
ANTO,ANTOFAGASTA PLC,Materialien,Aktien,"9.448.721,94","0,10","9.448.721,94","303.483,00","31,13",Vereinigtes Königreich,London Stock Exchange,GBP,GB0000456144
COLO B,COLOPLAST B,Gesundheitsversorgung,Aktien,"9.297.280,51","0,10","9.297.280,51","119.104,00","78,06",Dänemark,Omx Nordic Exchange Copenhagen A/S,DKK,DK0060448595
STMN,STRAUMANN HOLDING AG,Gesundheitsversorgung,Aktien,"9.161.006,39","0,10","9.161.006,39","90.290,00","101,46",Schweiz,SIX Swiss Exchange,CHF,CH1175448666
SRG,SNAM,Versorger,Aktien,"9.152.663,17","0,10","9.152.663,17","1.606.858,00","5,70",Italien,Borsa Italiana,EUR,IT0003153415
ALFA,ALFA LAVAL,Industrie,Aktien,"9.149.215,87","0,10","9.149.215,87","228.202,00","40,09",Schweden,Nasdaq Omx Nordic,SEK,SE0000695876
SGE,THE SAGE GROUP PLC,IT,Aktien,"9.127.617,56","0,10","9.127.617,56","751.307,00","12,15",Vereinigtes Königreich,London Stock Exchange,GBP,GB00B8C3BL03
EN,BOUYGUES SA,Industrie,Aktien,"9.084.108,80","0,10","9.084.108,80","212.992,00","42,65",Frankreich,Nyse Euronext - Euronext Paris,EUR,FR0000120503
FGR,EIFFAGE SA,Industrie,Aktien,"8.981.363,55","0,10","8.981.363,55","76.731,00","117,05",Frankreich,Nyse Euronext - Euronext Paris,EUR,FR0000130452
EPI A,EPIROC CLASS A,Industrie,Aktien,"8.941.928,46","0,10","8.941.928,46","486.725,00","18,37",Schweden,Nasdaq Omx Nordic,SEK,SE0015658109
IAG,INTERNATIONAL AIRLINES GROUP SA,Industrie,Aktien,"8.773.968,06","0,09","8.773.968,06","1.925.800,00","4,56",Spanien,London Stock Exchange,GBP,ES0177542018
BOL,BOLIDEN,Materialien,Aktien,"8.747.984,61","0,09","8.747.984,61","216.625,00","40,38",Schweden,Nasdaq Omx Nordic,SEK,SE0020050417
KRX,KINGSPAN GROUP PLC,Industrie,Aktien,"8.595.222,00","0,09","8.595.222,00","120.045,00","71,60",Irland,Irish Stock Exchange - All Market,EUR,IE0004927939
HEN3,HENKEL & KGAA PREF AG,Nichtzyklische Konsumgüter,Aktien,"8.507.441,28","0,09","8.507.441,28","121.953,00","69,76",Deutschland,Xetra,EUR,DE0006048432
EDP,EDP ENERGIAS DE PORTUGAL SA,Versorger,Aktien,"8.494.477,83","0,09","8.494.477,83","2.234.213,00","3,80",Portugal,Nyse Euronext - Euronext Lisbon,EUR,PTEDP0AM0009
RTO,RENTOKIL INITIAL PLC,Industrie,Aktien,"8.482.165,93","0,09","8.482.165,93","1.807.421,00","4,69",Vereinigtes Königreich,London Stock Exchange,GBP,GB00B082RF11
SOON,SONOVA HOLDING AG,Gesundheitsversorgung,Aktien,"8.139.410,85","0,09","8.139.410,85","38.163,00","213,28",Schweiz,SIX Swiss Exchange,CHF,CH0012549785
ENX,EURONEXT NV,Financials,Aktien,"8.098.321,40","0,09","8.098.321,40","61.678,00","131,30",Frankreich,Nyse Euronext - Euronext Paris,EUR,NL0006294274
SPSN,SWISS PRIME SITE AG,Immobilien,Aktien,"8.086.739,86","0,09","8.086.739,86","64.100,00","126,16",Schweiz,SIX Swiss Exchange,CHF,CH0008038389
ELE,ENDESA SA,Versorger,Aktien,"7.957.341,60","0,09","7.957.341,60","255.043,00","31,20",Spanien,Bolsa De Madrid,EUR,ES0130670112
CARL B,CARLSBERG AS CL B,Nichtzyklische Konsumgüter,Aktien,"7.829.870,57","0,08","7.829.870,57","73.465,00","106,58",Dänemark,Omx Nordic Exchange Copenhagen A/S,DKK,DK0010181759
VACN,VAT GROUP AG,Industrie,Aktien,"7.655.044,75","0,08","7.655.044,75","20.534,00","372,80",Schweiz,SIX Swiss Exchange,CHF,CH0311864901
CNA,CENTRICA PLC,Versorger,Aktien,"7.637.321,57","0,08","7.637.321,57","4.031.240,00","1,89",Vereinigtes Königreich,London Stock Exchange,GBP,GB00B033F229
AC,ACCOR SA,Zyklische Konsumgüter ,Aktien,"7.635.307,34","0,08","7.635.307,34","162.661,00","46,94",Frankreich,Nyse Euronext - Euronext Paris,EUR,FR0000120404
UU.,UNITED UTILITIES GROUP PLC,Versorger,Aktien,"7.541.188,79","0,08","7.541.188,79","539.178,00","13,99",Vereinigtes Königreich,London Stock Exchange,GBP,GB00B39J2M42
SGRO,SEGRO REIT PLC,Immobilien,Aktien,"7.471.683,52","0,08","7.471.683,52","927.561,00","8,06",Vereinigtes Königreich,London Stock Exchange,GBP,GB00B5ZN1N88
PST,POSTE ITALIANE,Financials,Aktien,"7.465.487,25","0,08","7.465.487,25","361.175,00","20,67",Italien,Borsa Italiana,EUR,IT0003796171
SY1,SYMRISE AG,Materialien,Aktien,"7.464.639,82","0,08","7.464.639,82","105.047,00","71,06",Deutschland,Xetra,EUR,DE000SYM9999
URW,UNIBAIL RODAMCO WE STAPLED UNITS,Immobilien,Aktien,"7.456.004,64","0,08","7.456.004,64","82.187,00","90,72",Frankreich,Nyse Euronext - Euronext Paris,EUR,FR0013326246
AGS,AGEAS SA,Financials,Aktien,"7.379.793,30","0,08","7.379.793,30","123.926,00","59,55",Belgien,Nyse Euronext - Euronext Brussels,EUR,BE0974264930
ADM,ADMIRAL GROUP PLC,Financials,Aktien,"7.375.392,60","0,08","7.375.392,60","202.836,00","36,36",Vereinigtes Königreich,London Stock Exchange,GBP,GB00B02J6398
AKZA,AKZO NOBEL NV,Materialien,Aktien,"7.371.911,60","0,08","7.371.911,60","134.230,00","54,92",Niederlande,Euronext Amsterdam,EUR,NL0013267909
BESI,BE SEMICONDUCTOR INDUSTRIES NV,IT,Aktien,"7.351.560,00","0,08","7.351.560,00","56.725,00","129,60",Niederlande,Euronext Amsterdam,EUR,NL0012866412
BALN,BALOISE HOLDING AG,Financials,Aktien,"7.275.655,80","0,08","7.275.655,80","32.599,00","223,19",Schweiz,SIX Swiss Exchange,CHF,CH0012410517
SMIN,SMITHS GROUP PLC,Industrie,Aktien,"7.274.402,70","0,08","7.274.402,70","261.868,00","27,78",Vereinigtes Königreich,London Stock Exchange,GBP,GB00B1WY2338
KNIN,KUEHNE UND NAGEL INTERNATIONAL AG,Industrie,Aktien,"7.231.096,69","0,08","7.231.096,69","42.359,00","170,71",Schweiz,SIX Swiss Exchange,CHF,CH0025238863
QIA,QIAGEN NV,Gesundheitsversorgung,Aktien,"7.176.025,95","0,08","7.176.025,95","171.778,00","41,77",Deutschland,Deutsche Börse AG,EUR,NL0015002CX3
BG,BAWAG GROUP AG,Financials,Aktien,"7.151.403,30","0,08","7.151.403,30","61.491,00","116,30",Österreich,Wiener Boerse Ag,EUR,AT0000BAWAG2
BKT,BANKINTER SA,Financials,Aktien,"6.991.573,05","0,07","6.991.573,05","502.810,00","13,90",Spanien,Bolsa De Madrid,EUR,ES0113679I37
METSO,METSO CORPORATION,Industrie,Aktien,"6.988.621,92","0,07","6.988.621,92","488.544,00","14,31",Finnland,Nasdaq Omx Helsinki Ltd.,EUR,FI0009014575
FME,FRESENIUS MEDICAL CARE AG,Gesundheitsversorgung,Aktien,"6.868.035,18","0,07","6.868.035,18","166.619,00","41,22",Deutschland,Xetra,EUR,DE0005785802
G1A,GEA GROUP AG,Industrie,Aktien,"6.862.869,00","0,07","6.862.869,00","117.314,00","58,50",Deutschland,Xetra,EUR,DE0006602006
CCH,COCA COLA HBC AG,Nichtzyklische Konsumgüter,Aktien,"6.861.690,00","0,07","6.861.690,00","158.886,00","43,19",Vereinigtes Königreich,London Stock Exchange,GBP,CH0198251305
BVI,BUREAU VERITAS SA,Industrie,Aktien,"6.783.366,96","0,07","6.783.366,96","249.572,00","27,18",Frankreich,Nyse Euronext - Euronext Paris,EUR,FR0006174348
AGN,AEGON LTD,Financials,Aktien,"6.732.523,47","0,07","6.732.523,47","984.863,00","6,84",Niederlande,Euronext Amsterdam,EUR,BMG0112X1056
ITRK,INTERTEK GROUP PLC,Industrie,Aktien,"6.706.112,62","0,07","6.706.112,62","126.691,00","52,93",Vereinigtes Königreich,London Stock Exchange,GBP,GB0031638363
PZU,PZU SA,Financials,Aktien,"6.676.308,14","0,07","6.676.308,14","447.685,00","14,91",Polen,Warsaw Stock Exchange/Equities/Main Market,PLN,PLPZU0000011
KOG,KONGSBERG GRUPPEN,Industrie,Aktien,"6.643.736,18","0,07","6.643.736,18","336.335,00","19,75",Norwegen,Oslo Bors Asa,NOK,NO0013536151
DPLM,DIPLOMA PLC,Industrie,Aktien,"6.641.507,89","0,07","6.641.507,89","106.192,00","62,54",Vereinigtes Königreich,London Stock Exchange,GBP,GB0001826634
SVT,SEVERN TRENT PLC,Versorger,Aktien,"6.589.118,41","0,07","6.589.118,41","202.434,00","32,55",Vereinigtes Königreich,London Stock Exchange,GBP,GB00B1FH8J72
EVO,EVOLUTION,Zyklische Konsumgüter ,Aktien,"6.580.846,25","0,07","6.580.846,25","113.283,00","58,09",Schweden,Nasdaq Omx Nordic,SEK,SE0012673267
MRO,MELROSE INDUSTRIES PLC,Industrie,Aktien,"6.527.204,65","0,07","6.527.204,65","961.528,00","6,79",Vereinigtes Königreich,London Stock Exchange,GBP,GB00BNGDN821
BEI,BEIERSDORF AG,Nichtzyklische Konsumgüter,Aktien,"6.523.095,42","0,07","6.523.095,42","70.857,00","92,06",Deutschland,Xetra,EUR,DE0005200000
MOWI,MOWI,Nichtzyklische Konsumgüter,Aktien,"6.508.862,72","0,07","6.508.862,72","344.773,00","18,88",Norwegen,Oslo Bors Asa,NOK,NO0003054108
PEO,BANK PEKAO SA,Financials,Aktien,"6.467.780,65","0,07","6.467.780,65","136.220,00","47,48",Polen,Warsaw Stock Exchange/Equities/Main Market,PLN,PLPEKAO00016
FORTUM,FORTUM,Versorger,Aktien,"6.338.608,50","0,07","6.338.608,50","358.620,00","17,68",Finnland,Nasdaq Omx Helsinki Ltd.,EUR,FI0009007132
STJ,ST JAMESS PLACE PLC,Financials,Aktien,"6.334.827,94","0,07","6.334.827,94","407.833,00","15,53",Vereinigtes Königreich,London Stock Exchange,GBP,GB0007669376
BEAN,BELIMO N AG,Industrie,Aktien,"6.316.862,57","0,07","6.316.862,57","7.562,00","835,34",Schweiz,SIX Swiss Exchange,CHF,CH1101098163
CA,CARREFOUR SA,Nichtzyklische Konsumgüter,Aktien,"6.297.907,53","0,07","6.297.907,53","477.295,00","13,20",Frankreich,Nyse Euronext - Euronext Paris,EUR,FR0000120172
BNZL,BUNZL,Industrie,Aktien,"6.283.656,65","0,07","6.283.656,65","257.279,00","24,42",Vereinigtes Königreich,London Stock Exchange,GBP,GB00B0744B38
ORSTED,ORSTED A/S,Versorger,Aktien,"6.277.782,21","0,07","6.277.782,21","352.926,00","17,79",Dänemark,Omx Nordic Exchange Copenhagen A/S,DKK,DK0060094928
MKS,MARKS AND SPENCER GROUP PLC,Nichtzyklische Konsumgüter,Aktien,"6.221.354,84","0,07","6.221.354,84","1.583.725,00","3,93",Vereinigtes Königreich,London Stock Exchange,GBP,GB0031274896
WEIR,WEIR GROUP PLC,Industrie,Aktien,"6.180.812,88","0,07","6.180.812,88","196.647,00","31,43",Vereinigtes Königreich,London Stock Exchange,GBP,GB0009465807
TEL,TELENOR,Kommunikation,Aktien,"6.087.888,39","0,07","6.087.888,39","489.407,00","12,44",Norwegen,Oslo Bors Asa,NOK,NO0010063308
SPIE,SPIE SA,Industrie,Aktien,"6.075.197,28","0,07","6.075.197,28","133.992,00","45,34",Frankreich,Nyse Euronext - Euronext Paris,EUR,FR0012757854
SKA B,SKANSKA B,Industrie,Aktien,"6.066.551,97","0,06","6.066.551,97","272.574,00","22,26",Schweden,Nasdaq Omx Nordic,SEK,SE0000113250
NHY,NORSK HYDRO,Materialien,Aktien,"6.038.154,95","0,06","6.038.154,95","1.003.824,00","6,02",Norwegen,Oslo Bors Asa,NOK,NO0005052605
ASRNL,ASR NEDERLAND NV,Financials,Aktien,"6.002.743,56","0,06","6.002.743,56","103.746,00","57,86",Niederlande,Euronext Amsterdam,EUR,NL0011872643
TELIA,TELIA COMPANY,Kommunikation,Aktien,"5.993.482,80","0,06","5.993.482,80","1.750.534,00","3,42",Schweden,Nasdaq Omx Nordic,SEK,SE0000667925
MAERSK B,A P MOLLER MAERSK B,Industrie,Aktien,"5.979.255,00","0,06","5.979.255,00","3.584,00","1.668,32",Dänemark,Omx Nordic Exchange Copenhagen A/S,DKK,DK0010244508
ALO,ALSTOM SA,Industrie,Aktien,"5.950.852,36","0,06","5.950.852,36","261.461,00","22,76",Frankreich,Nyse Euronext - Euronext Paris,EUR,FR0010220475
SKF B,SKF B,Industrie,Aktien,"5.938.824,62","0,06","5.938.824,62","267.162,00","22,23",Schweden,Nasdaq Omx Nordic,SEK,SE0000108227
LI,KLEPIERRE REIT SA,Immobilien,Aktien,"5.933.026,82","0,06","5.933.026,82","177.317,00","33,46",Frankreich,Nyse Euronext - Euronext Paris,EUR,FR0000121964
HELN,HELVETIA HOLDING AG,Financials,Aktien,"5.909.735,74","0,06","5.909.735,74","26.658,00","221,69",Schweiz,SIX Swiss Exchange,CHF,CH0466642201
WISE,WISE PLC CLASS A,Financials,Aktien,"5.902.018,69","0,06","5.902.018,69","596.468,00","9,90",Vereinigtes Königreich,London Stock Exchange,GBP,GB00BL9YR756
HM B,HENNES & MAURITZ,Zyklische Konsumgüter ,Aktien,"5.897.932,98","0,06","5.897.932,98","373.005,00","15,81",Schweden,Nasdaq Omx Nordic,SEK,SE0000106270
TEL2 B,TELE2 B,Kommunikation,Aktien,"5.878.934,13","0,06","5.878.934,13","433.087,00","13,57",Schweden,Nasdaq Omx Nordic,SEK,SE0005190238
GALP,GALP ENERGIA SGPS SA CLASS B,Energie,Aktien,"5.844.308,40","0,06","5.844.308,40","340.776,00","17,15",Portugal,Nyse Euronext - Euronext Lisbon,EUR,PTGAL0AM0009
GAW,GAMES WORKSHOP GROUP PLC,Zyklische Konsumgüter ,Aktien,"5.835.730,13","0,06","5.835.730,13","25.877,00","225,52",Vereinigtes Königreich,London Stock Exchange,GBP,GB0003718474
PNDORA,PANDORA,Zyklische Konsumgüter ,Aktien,"5.811.555,59","0,06","5.811.555,59","56.693,00","102,51",Dänemark,Omx Nordic Exchange Copenhagen A/S,DKK,DK0060252690
UNI,UNIPOL ASSICURAZIONI SPA,Financials,Aktien,"5.776.868,12","0,06","5.776.868,12","294.663,00","19,61",Italien,Borsa Italiana,EUR,IT0004810054
ADDT B,ADDTECH CLASS B,Industrie,Aktien,"5.733.268,21","0,06","5.733.268,21","200.646,00","28,57",Schweden,Nasdaq Omx Nordic,SEK,SE0014781795
RXL,REXEL SA,Industrie,Aktien,"5.646.429,81","0,06","5.646.429,81","175.737,00","32,13",Frankreich,Nyse Euronext - Euronext Paris,EUR,FR0010451203
PSON,PEARSON PLC,Zyklische Konsumgüter ,Aktien,"5.637.826,64","0,06","5.637.826,64","500.597,00","11,26",Vereinigtes Königreich,London Stock Exchange,GBP,GB0006776081
ABF,ASSOCIATED BRITISH FOODS PLC,Nichtzyklische Konsumgüter,Aktien,"5.630.774,60","0,06","5.630.774,60","232.284,00","24,24",Vereinigtes Königreich,London Stock Exchange,GBP,GB0006731235
IMI,IMI PLC,Industrie,Aktien,"5.583.378,86","0,06","5.583.378,86","204.011,00","27,37",Vereinigtes Königreich,London Stock Exchange,GBP,GB00BGLP8L22
NESTE,NESTE,Energie,Aktien,"5.558.883,00","0,06","5.558.883,00","336.902,00","16,50",Finnland,Nasdaq Omx Helsinki Ltd.,EUR,FI0009013296
MNG,M&G PLC,Financials,Aktien,"5.545.382,32","0,06","5.545.382,32","1.804.267,00","3,07",Vereinigtes Königreich,London Stock Exchange,GBP,GB00BKFB1C65
RNO,RENAULT SA,Zyklische Konsumgüter ,Aktien,"5.522.415,15","0,06","5.522.415,15","160.769,00","34,35",Frankreich,Nyse Euronext - Euronext Paris,EUR,FR0000131906
SOBI,SWEDISH ORPHAN BIOVITRUM,Gesundheitsversorgung,Aktien,"5.509.748,36","0,06","5.509.748,36","177.904,00","30,97",Schweden,Nasdaq Omx Nordic,SEK,SE0000872095
HEIO,HEINEKEN HOLDING NV,Nichtzyklische Konsumgüter,Aktien,"5.506.898,70","0,06","5.506.898,70","90.798,00","60,65",Niederlande,Euronext Amsterdam,EUR,NL0000008977
BCP,BANCO COMERCIAL PORTUGUES SA,Financials,Aktien,"5.502.954,62","0,06","5.502.954,62","6.689.709,00","0,82",Portugal,Nyse Euronext - Euronext Lisbon,EUR,PTBCP0AM0015
LIFCO B,LIFCO CLASS B,Industrie,Aktien,"5.501.096,78","0,06","5.501.096,78","172.567,00","31,88",Schweden,Nasdaq Omx Nordic,SEK,SE0015949201
ORK,ORKLA,Nichtzyklische Konsumgüter,Aktien,"5.419.261,21","0,06","5.419.261,21","592.138,00","9,15",Norwegen,Oslo Bors Asa,NOK,NO0003733800
TREL B,TRELLEBORG B,Industrie,Aktien,"5.414.409,73","0,06","5.414.409,73","154.375,00","35,07",Schweden,Nasdaq Omx Nordic,SEK,SE0000114837
ERF,EUROFINS SCIENTIFIC,Gesundheitsversorgung,Aktien,"5.408.360,44","0,06","5.408.360,44","91.574,00","59,06",Frankreich,Nyse Euronext - Euronext Paris,EUR,FR0014000MR3
PSPN,PSP SWISS PROPERTY AG,Immobilien,Aktien,"5.349.353,50","0,06","5.349.353,50","35.300,00","151,54",Schweiz,SIX Swiss Exchange,CHF,CH0018294154
TLX,TALANX AG,Financials,Aktien,"5.336.265,60","0,06","5.336.265,60","47.816,00","111,60",Deutschland,Xetra,EUR,DE000TLX1005
TRYG,TRYG,Financials,Aktien,"5.325.593,83","0,06","5.325.593,83","247.972,00","21,48",Dänemark,Omx Nordic Exchange Copenhagen A/S,DKK,DK0060636678
ICG,ICG PLC,Financials,Aktien,"5.294.029,63","0,06","5.294.029,63","224.959,00","23,53",Vereinigtes Königreich,London Stock Exchange,GBP,GB00BYT1DJ19
G24,SCOUT24 N,Kommunikation,Aktien,"5.252.753,70","0,06","5.252.753,70","60.169,00","87,30",Deutschland,Xetra,EUR,DE000A12DM80
EXO,EXOR NV,Financials,Aktien,"5.241.593,00","0,06","5.241.593,00","72.548,00","72,25",Niederlande,Euronext Amsterdam,EUR,NL0012059018
